instance_id,exit_status,steps,trace_tokens,billed_tokens,cost_usd,correct
astropy-2,Submitted,18,29371,29371,0.0,
astropy-0,Submitted,20,36221,36221,0.0,
astropy-3,OSError,22,63301,63301,0.0,
astropy-1,Submitted,30,102009,102009,0.0,
astropy-4,Submitted,12,18377,18377,0.0,
astropy-7,Submitted,7,10285,10285,0.0,
astropy-6,Submitted,27,129943,129943,0.0,
astropy-8,Submitted,14,27465,27465,0.0,
astropy-5,LimitsExceeded,30,102858,102858,0.0,
astropy-9,Submitted,14,48668,48668,0.0,
astropy-12,Submitted,1,2132,2132,0.0,
astropy-10,Submitted,15,19930,19930,0.0,
astropy-13,Submitted,30,65469,65469,0.0,
astropy-11,Submitted,12,27820,27820,0.0,
astropy-14,LimitsExceeded,30,95544,95544,0.0,
astropy-18,Submitted,2,2119,2119,0.0,
astropy-15,LimitsExceeded,30,90777,90777,0.0,
astropy-17,Submitted,20,38250,38250,0.0,
astropy-16,Submitted,30,90465,90465,0.0,
astropy-19,Submitted,1,3848,3848,0.0,
astropy-21,Submitted,11,17789,17789,0.0,
astropy-22,Submitted,7,13093,13093,0.0,
astropy-24,Submitted,1,2946,2946,0.0,
astropy-20,LimitsExceeded,30,78981,78981,0.0,
astropy-25,Submitted,14,22631,22631,0.0,
astropy-23,Submitted,30,82468,82468,0.0,
astropy-29,Submitted,4,3363,3363,0.0,
astropy-30,Submitted,1,610,610,0.0,
astropy-26,Submitted,20,42286,42286,0.0,
astropy-31,Submitted,2,1494,1494,0.0,
astropy-33,Submitted,1,604,604,0.0,
astropy-32,Submitted,6,5887,5887,0.0,
astropy-28,Submitted,22,45678,45678,0.0,
astropy-35,Submitted,11,18176,18176,0.0,
astropy-27,LimitsExceeded,30,77588,77588,0.0,
astropy-37,Submitted,5,8463,8463,0.0,
astropy-38,Submitted,11,21392,21392,0.0,
astropy-36,Submitted,14,24659,24659,0.0,
astropy-34,LimitsExceeded,30,78193,78193,0.0,
astropy-41,Submitted,21,55174,55174,0.0,
astropy-40,Submitted,30,106794,106794,0.0,
astropy-39,LimitsExceeded,30,64936,64936,0.0,
astropy-44,Submitted,5,9632,9632,0.0,
astropy-42,Submitted,26,90777,90777,0.0,
astropy-46,Submitted,3,4241,4241,0.0,
conan-0,Submitted,2,2238,2238,0.0,
astropy-47,Submitted,2,2956,2956,0.0,
astropy-43,LimitsExceeded,30,149211,149211,0.0,
conan-1,Submitted,12,17244,17244,0.0,
astropy-45,Submitted,14,21748,21748,0.0,
conan-4,Submitted,3,5600,5600,0.0,
conan-3,Submitted,28,146067,146067,0.0,
conan-6,Submitted,15,51188,51188,0.0,
conan-2,Submitted,17,37092,37092,0.0,
conan-9,Submitted,2,2208,2208,0.0,
conan-5,LimitsExceeded,30,106949,106949,0.0,
conan-7,Submitted,10,14964,14964,0.0,
conan-10,Submitted,4,7206,7206,0.0,
conan-11,Submitted,12,25735,25735,0.0,
conan-8,Submitted,21,102260,102260,0.0,
conan-14,Submitted,4,5161,5161,0.0,
conan-12,Submitted,11,58714,58714,0.0,
conan-16,Submitted,4,5714,5714,0.0,
conan-13,Submitted,27,176118,176118,0.0,
conan-15,Submitted,6,16899,16899,0.0,
conan-17,LimitsExceeded,30,90387,90387,0.0,
conan-19,Submitted,26,82720,82720,0.0,
conan-20,Submitted,26,72209,72209,0.0,
conan-18,Submitted,26,155539,155539,0.0,
