instance_id,exit_status,steps,trace_tokens,billed_tokens,cost_usd,correct
astropy-0,Submitted,2,2555,2555,0.0,
astropy-4,Submitted,1,964,964,0.0,
astropy-1,Submitted,15,50190,50190,0.0,
astropy-3,Submitted,21,41132,41132,0.0,
astropy-2,Submitted,30,76944,76944,0.0,
astropy-6,Submitted,48,191784,191784,0.0,
astropy-8,Submitted,20,73075,73075,0.0,
astropy-7,Submitted,51,206715,206715,0.0,
astropy-5,Submitted,44,159004,159004,0.0,
astropy-9,Submitted,22,43869,43869,0.0,
astropy-11,Submitted,14,20917,20917,0.0,
astropy-10,Submitted,38,125424,125424,0.0,
astropy-13,Submitted,31,81303,81303,0.0,
astropy-12,Submitted,34,107689,107689,0.0,
astropy-14,Submitted,23,50124,50124,0.0,
astropy-17,Submitted,7,7749,7749,0.0,
astropy-18,Submitted,7,7522,7522,0.0,
astropy-16,Submitted,32,87544,87544,0.0,
astropy-15,Submitted,57,252363,252363,0.0,
astropy-19,Submitted,23,51475,51475,0.0,
astropy-21,Submitted,8,16277,16277,0.0,
astropy-20,Submitted,17,28869,28869,0.0,
astropy-22,Submitted,2,1698,1698,0.0,
astropy-24,Submitted,5,4919,4919,0.0,
astropy-26,Submitted,7,7087,7087,0.0,
astropy-28,Submitted,1,706,706,0.0,
astropy-23,Submitted,21,43655,43655,0.0,
astropy-27,Submitted,9,10882,10882,0.0,
astropy-31,Submitted,1,738,738,0.0,
astropy-30,Submitted,1,989,989,0.0,
astropy-25,Submitted,12,17582,17582,0.0,
astropy-33,Submitted,1,601,601,0.0,
astropy-35,Submitted,5,5471,5471,0.0,
astropy-34,Submitted,10,12215,12215,0.0,
astropy-32,Submitted,11,14125,14125,0.0,
astropy-29,Submitted,12,18061,18061,0.0,
astropy-37,Submitted,4,4581,4581,0.0,
astropy-38,Submitted,8,10235,10235,0.0,
astropy-39,Submitted,11,15797,15797,0.0,
astropy-36,Submitted,39,125339,125339,0.0,
astropy-42,Submitted,6,6977,6977,0.0,
astropy-40,Submitted,17,31597,31597,0.0,
astropy-41,Submitted,10,13578,13578,0.0,
astropy-45,Submitted,1,930,930,0.0,
astropy-44,Submitted,8,9386,9386,0.0,
astropy-47,Submitted,9,13826,13826,0.0,
astropy-46,Submitted,17,34922,34922,0.0,
conan-0,Submitted,15,29523,29523,0.0,
astropy-43,Submitted,30,79276,79276,0.0,
conan-2,Submitted,33,92283,92283,0.0,
conan-3,Submitted,38,116015,116015,0.0,
conan-1,Submitted,24,55063,55063,0.0,
conan-5,Submitted,38,117640,117640,0.0,
conan-7,Submitted,12,17569,17569,0.0,
conan-6,Submitted,38,119022,119022,0.0,
conan-4,Submitted,57,268482,268482,0.0,
conan-8,Submitted,11,14125,14125,0.0,
conan-11,Submitted,2,2193,2193,0.0,
conan-9,Submitted,20,42263,42263,0.0,
conan-10,Submitted,49,190107,190107,0.0,
conan-12,Submitted,58,264856,264856,0.0,
conan-16,Submitted,15,24403,24403,0.0,
conan-15,Submitted,34,96540,96540,0.0,
