instance_id,exit_status,steps,trace_tokens,billed_tokens,cost_usd,correct,blocked_submission_count,list_symbols_called,radar_called,radar_tool_calls,radar_tool_output_chars,radar_verification_satisfied,tools_prompt
astropy-3,Submitted,17,29126,29126,0.0,,0,0,True,1,43,True,neutral
astropy-0,Submitted,12,33879,33879,0.0,,0,0,True,1,3103,True,neutral
astropy-5,Submitted,29,99711,99711,0.0,,1,0,True,1,2970,True,neutral
astropy-4,Submitted,17,72612,72612,0.0,,1,0,True,2,5756,True,neutral
astropy-2,Submitted,42,227960,227960,0.0,,1,0,True,2,6523,True,neutral
astropy-1,Submitted,41,288139,288139,0.0,,0,0,True,5,10192,True,neutral
astropy-6,Submitted,45,505548,505548,0.0,,1,0,True,4,11570,True,neutral
astropy-8,Submitted,29,177213,177213,0.0,,1,0,True,4,12372,True,neutral
astropy-11,Submitted,22,106761,106761,0.0,,1,0,True,2,7517,True,neutral
astropy-7,Submitted,87,923964,923964,0.0,,1,0,True,3,10454,True,neutral
astropy-10,Submitted,56,467638,467638,0.0,,0,0,True,3,6566,True,neutral
astropy-12,Submitted,44,238634,238634,0.0,,1,0,True,1,2848,True,neutral
astropy-9,Submitted,84,934253,934253,0.0,,1,0,True,4,13358,True,neutral
astropy-15,Submitted,9,38315,38315,0.0,,0,0,True,3,10785,True,neutral
astropy-14,Submitted,42,198852,198852,0.0,,1,0,True,2,7200,True,neutral
astropy-18,Submitted,33,196858,196858,0.0,,0,0,True,1,3639,True,neutral
astropy-17,Submitted,18,90716,90716,0.0,,1,0,True,4,10754,True,neutral
astropy-16,Submitted,55,286391,286391,0.0,,1,0,True,2,4938,True,neutral
astropy-13,Submitted,69,1004377,1004377,0.0,,1,0,True,4,16798,True,neutral
astropy-21,Submitted,8,21303,21303,0.0,,0,0,True,1,3777,True,neutral
astropy-22,Submitted,18,78230,78230,0.0,,1,0,True,1,3398,True,neutral
astropy-20,Submitted,27,133977,133977,0.0,,0,0,True,6,6878,True,neutral
astropy-23,Submitted,37,236678,236678,0.0,,1,0,True,4,10335,True,neutral
astropy-24,Submitted,42,184472,184472,0.0,,0,0,True,3,3424,True,neutral
astropy-19,Submitted,63,629724,629724,0.0,,1,0,True,6,14355,True,neutral
astropy-28,Submitted,26,142886,142886,0.0,,0,0,True,2,5872,True,neutral
astropy-25,Submitted,48,456976,456976,0.0,,1,0,True,6,20496,True,neutral
astropy-26,Submitted,42,523353,523353,0.0,,1,0,True,5,18799,True,neutral
astropy-27,Submitted,60,606908,606908,0.0,,1,0,True,4,10635,True,neutral
astropy-30,Submitted,19,88681,88681,0.0,,2,0,True,3,8107,True,neutral
astropy-29,Submitted,31,119666,119666,0.0,,0,0,True,2,7076,True,neutral
astropy-31,Submitted,41,227418,227418,0.0,,1,0,True,1,3884,True,neutral
astropy-33,Submitted,48,345078,345078,0.0,,1,0,True,2,7816,True,neutral
astropy-34,Submitted,50,475162,475162,0.0,,1,0,True,2,6837,True,neutral
astropy-35,Submitted,32,143677,143677,0.0,,1,0,True,4,6612,True,neutral
astropy-36,Submitted,18,78640,78640,0.0,,0,0,True,1,3043,True,neutral
astropy-32,Submitted,72,557345,557345,0.0,,1,0,True,2,7949,True,neutral
astropy-38,Submitted,22,78887,78887,0.0,,0,0,True,1,3038,True,neutral
astropy-37,Submitted,29,161356,161356,0.0,,0,0,True,1,3519,True,neutral
astropy-39,Submitted,47,333168,333168,0.0,,0,1,True,2,5951,True,neutral
astropy-42,Submitted,30,143267,143267,0.0,,0,0,True,2,6539,True,neutral
astropy-40,Submitted,60,467560,467560,0.0,,1,0,True,1,3061,True,neutral
astropy-41,Submitted,32,154078,154078,0.0,,0,0,True,2,4948,True,neutral
astropy-44,Submitted,5,15264,15264,0.0,,0,0,True,1,2980,True,neutral
astropy-46,Submitted,35,198939,198939,0.0,,0,0,True,1,3766,True,neutral
astropy-47,Submitted,24,139125,139125,0.0,,0,0,True,1,3780,True,neutral
astropy-45,Submitted,28,141540,141540,0.0,,1,0,True,1,2745,True,neutral
conan-0,Submitted,4,9772,9772,0.0,,0,0,True,1,4315,True,neutral
astropy-43,Submitted,24,131827,131827,0.0,,0,0,True,3,7567,True,neutral
conan-2,Submitted,8,29293,29293,0.0,,0,0,True,2,8401,True,neutral
conan-4,Submitted,3,6377,6377,0.0,,0,0,True,1,3192,True,neutral
conan-1,Submitted,31,175878,175878,0.0,,0,1,True,3,6768,True,neutral
conan-6,Submitted,16,118703,118703,0.0,,0,0,True,3,12671,True,neutral
conan-3,Submitted,24,281028,281028,0.0,,0,0,True,6,24518,True,neutral
conan-9,Submitted,5,11411,11411,0.0,,0,0,True,1,4029,True,neutral
conan-5,Submitted,49,413911,413911,0.0,,0,0,True,2,7872,True,neutral
conan-10,Submitted,11,42026,42026,0.0,,1,0,True,1,4306,True,neutral
conan-7,Submitted,63,613280,613280,0.0,,1,0,True,3,9774,True,neutral
conan-8,Submitted,30,274433,274433,0.0,,1,0,True,3,13738,True,neutral
conan-12,Submitted,12,54282,54282,0.0,,0,0,False,0,0,,neutral
conan-11,Submitted,30,185709,185709,0.0,,0,0,True,1,3216,True,neutral
conan-14,Submitted,4,12565,12565,0.0,,0,0,True,1,3216,True,neutral
conan-15,Submitted,29,149982,149982,0.0,,0,0,True,2,8180,True,neutral
conan-17,Submitted,17,72834,72834,0.0,,0,0,True,2,5463,True,neutral
conan-16,Submitted,13,76252,76252,0.0,,1,0,True,3,11234,True,neutral
conan-13,Submitted,41,596680,596680,0.0,,2,0,True,3,11308,True,neutral
conan-21,Submitted,4,10098,10098,0.0,,0,0,True,1,3804,True,neutral
conan-19,Submitted,34,340005,340005,0.0,,0,0,True,4,18545,True,neutral
conan-22,Submitted,10,52600,52600,0.0,,0,0,True,4,15349,True,neutral
conan-18,Submitted,53,703509,703509,0.0,,0,0,True,2,7093,True,neutral
conan-20,Submitted,41,407665,407665,0.0,,0,0,True,3,8449,True,neutral
conan-24,Submitted,33,132210,132210,0.0,,1,0,True,1,2458,True,neutral
conan-23,Submitted,28,288832,288832,0.0,,0,0,True,4,18900,True,neutral
conan-25,Submitted,43,240460,240460,0.0,,0,0,True,2,8398,True,neutral
conan-29,Submitted,7,42879,42879,0.0,,0,0,True,2,12792,True,neutral
conan-28,Submitted,43,305040,305040,0.0,,0,2,True,4,14772,True,neutral
conan-27,Submitted,77,602845,602845,0.0,,2,0,True,1,3810,True,neutral
conan-26,Submitted,97,1076304,1076304,0.0,,1,0,True,3,10635,True,neutral
conan-32,Submitted,4,9584,9584,0.0,,0,0,True,1,4321,True,neutral
conan-34,Submitted,16,70326,70326,0.0,,1,0,True,2,6940,True,neutral
conan-31,Submitted,11,66306,66306,0.0,,0,0,True,6,20072,True,neutral
conan-30,Submitted,54,660558,660558,0.0,,0,0,True,2,7326,True,neutral
conan-33,Submitted,47,302602,302602,0.0,,0,1,True,2,7353,True,neutral
conan-35,Submitted,43,346580,346580,0.0,,0,0,True,2,8798,True,neutral
conan-38,Submitted,24,148573,148573,0.0,,1,0,True,2,6387,True,neutral
conan-37,Submitted,52,380294,380294,0.0,,0,1,True,2,7612,True,neutral
conan-36,Submitted,50,420319,420319,0.0,,1,0,True,1,2941,True,neutral
conan-40,Submitted,24,120081,120081,0.0,,0,0,True,1,3044,True,neutral
conan-39,Submitted,49,352495,352495,0.0,,1,0,True,3,10875,True,neutral
conan-41,Submitted,52,390750,390750,0.0,,0,0,True,1,4339,True,neutral
conan-45,Submitted,3,6050,6050,0.0,,0,0,True,1,3679,True,neutral
conan-43,Submitted,45,554618,554618,0.0,,0,0,True,5,18586,True,neutral
conan-44,Submitted,57,413785,413785,0.0,,0,2,True,1,2489,True,neutral
conan-42,Submitted,66,763021,763021,0.0,,0,0,True,2,6591,True,neutral
conan-46,Submitted,54,500427,500427,0.0,,0,0,True,1,3568,True,neutral
django-1,Submitted,39,277485,277485,0.0,,1,0,True,1,4047,True,neutral
django-0,Submitted,45,421932,421932,0.0,,1,0,True,4,14375,True,neutral
django-3,Submitted,27,110952,110952,0.0,,1,0,True,1,3979,True,neutral
django-2,Submitted,54,492886,492886,0.0,,0,0,True,2,6186,True,neutral
django-4,Submitted,42,460510,460510,0.0,,1,0,True,2,5174,True,neutral
django-5,Submitted,43,199612,199612,0.0,,1,0,True,1,3799,True,neutral
django-6,Submitted,34,112375,112375,0.0,,0,0,False,0,0,,neutral
conan-47,Submitted,84,1288161,1288161,0.0,,1,0,True,3,10848,True,neutral
django-8,Submitted,21,68459,68459,0.0,,0,0,True,1,3083,True,neutral
django-7,Submitted,50,320538,320538,0.0,,1,0,True,3,9139,True,neutral
django-10,Submitted,21,93754,93754,0.0,,0,0,True,1,2944,True,neutral
django-11,Submitted,25,73437,73437,0.0,,1,0,True,1,2577,True,neutral
django-12,Submitted,23,80479,80479,0.0,,1,0,True,1,3632,True,neutral
django-14,Submitted,33,158974,158974,0.0,,1,0,True,2,6282,True,neutral
django-13,Submitted,44,249612,249612,0.0,,1,0,True,1,2757,True,neutral
django-15,Submitted,47,211613,211613,0.0,,0,0,False,0,0,,neutral
django-9,Submitted,76,563552,563552,0.0,,0,0,True,3,7345,True,neutral
django-16,Submitted,31,118198,118198,0.0,,1,0,True,1,4010,True,neutral
django-19,Submitted,34,121434,121434,0.0,,1,0,True,1,2249,True,neutral
django-17,Submitted,56,296878,296878,0.0,,1,0,True,1,3753,True,neutral
django-18,Submitted,39,264202,264202,0.0,,1,0,True,4,9258,True,neutral
django-22,Submitted,9,39108,39108,0.0,,1,0,True,2,9100,True,neutral
django-21,Submitted,36,153784,153784,0.0,,1,0,True,2,6894,True,neutral
django-20,Submitted,50,265132,265132,0.0,,1,0,True,1,3632,True,neutral
django-23,Submitted,27,83549,83549,0.0,,1,0,True,1,2730,True,neutral
django-25,Submitted,35,155301,155301,0.0,,1,0,True,2,5123,True,neutral
django-26,Submitted,61,569961,569961,0.0,,1,0,True,3,10923,True,neutral
django-24,Submitted,36,276882,276882,0.0,,1,0,True,5,11026,True,neutral
django-27,Submitted,45,287473,287473,0.0,,1,0,True,3,7678,True,neutral
django-29,Submitted,15,43961,43961,0.0,,1,0,True,2,4440,True,neutral
django-28,Submitted,39,371545,371545,0.0,,0,0,True,5,12925,True,neutral
django-30,Submitted,42,236135,236135,0.0,,2,0,True,2,5306,True,neutral
django-32,Submitted,41,248269,248269,0.0,,1,0,True,1,2596,True,neutral
django-31,Submitted,58,402618,402618,0.0,,1,0,True,2,6025,True,neutral
django-34,Submitted,39,199170,199170,0.0,,1,0,True,2,2442,True,neutral
django-33,Submitted,26,89332,89332,0.0,,1,0,True,4,5242,True,neutral
django-35,Submitted,33,139608,139608,0.0,,1,0,True,3,7389,True,neutral
django-39,Submitted,15,65814,65814,0.0,,1,0,True,4,10017,True,neutral
django-36,Submitted,49,415128,415128,0.0,,1,0,True,4,11343,True,neutral
django-38,Submitted,47,253813,253813,0.0,,1,0,True,3,7961,True,neutral
django-37,Submitted,40,258475,258475,0.0,,1,0,True,4,11537,True,neutral
django-42,Submitted,25,95313,95313,0.0,,1,0,True,2,5909,True,neutral
django-43,Submitted,52,219144,219144,0.0,,0,0,True,1,40,True,neutral
django-41,Submitted,33,243940,243940,0.0,,1,0,True,5,13270,True,neutral
django-44,Submitted,33,141012,141012,0.0,,0,0,True,1,2296,True,neutral
django-40,Submitted,67,711911,711911,0.0,,2,0,True,2,5878,True,neutral
flask-0,Submitted,6,18207,18207,0.0,,0,0,False,0,0,,neutral
flask-1,Submitted,5,14570,14570,0.0,,0,0,True,1,2360,True,neutral
django-47,Submitted,16,56933,56933,0.0,,1,0,True,1,2199,True,neutral
django-46,Submitted,17,61360,61360,0.0,,0,0,True,4,5858,True,neutral
flask-3,Submitted,6,13294,13294,0.0,,1,0,True,1,1880,True,neutral
flask-2,Submitted,13,67406,67406,0.0,,1,0,True,1,3386,True,neutral
django-45,Submitted,44,444558,444558,0.0,,1,0,True,5,12433,True,neutral
flask-4,Submitted,14,41947,41947,0.0,,1,0,True,1,2013,True,neutral
flask-5,Submitted,4,10477,10477,0.0,,0,0,True,1,2360,True,neutral
flask-7,Submitted,6,12330,12330,0.0,,0,0,True,1,2607,True,neutral
flask-10,Submitted,3,6925,6925,0.0,,0,0,True,1,2959,True,neutral
flask-9,Submitted,9,30125,30125,0.0,,1,0,True,2,4688,True,neutral
flask-11,Submitted,5,15581,15581,0.0,,0,0,True,1,3110,True,neutral
