instance_id,exit_status,steps,trace_tokens,billed_tokens,cost_usd,correct,tools_prompt
astropy-1,Submitted,21,83085,83085,0.0,,neutral
astropy-0,LimitsExceeded,30,214393,214393,0.0,,neutral
astropy-4,Submitted,19,41195,41195,0.0,,neutral
astropy-2,Submitted,10,21320,21320,0.0,,neutral
astropy-3,Submitted,30,169683,169683,0.0,,neutral
astropy-5,LimitsExceeded,30,99862,99862,0.0,,neutral
astropy-7,OSError,4,7939,8932,0.0,,neutral
astropy-6,Submitted,14,44527,44527,0.0,,neutral
astropy-8,Submitted,26,84386,84386,0.0,,neutral
astropy-10,Submitted,25,66740,66740,0.0,,neutral
astropy-11,Submitted,26,53373,53373,0.0,,neutral
astropy-12,LimitsExceeded,30,164133,164133,0.0,,neutral
astropy-9,Submitted,30,213367,213367,0.0,,neutral
astropy-14,Submitted,30,132289,132289,0.0,,neutral
astropy-16,Submitted,4,5241,5241,0.0,,neutral
astropy-13,Submitted,25,181688,181688,0.0,,neutral
astropy-15,Submitted,19,81903,81903,0.0,,neutral
astropy-17,LimitsExceeded,30,83603,83603,0.0,,neutral
astropy-18,LimitsExceeded,30,171651,171651,0.0,,neutral
astropy-19,Submitted,8,35450,35450,0.0,,neutral
astropy-21,Submitted,14,55361,55361,0.0,,neutral
astropy-20,Submitted,30,109521,109521,0.0,,neutral
astropy-23,Submitted,4,11245,11245,0.0,,neutral
astropy-22,Submitted,23,82777,82777,0.0,,neutral
astropy-27,Submitted,22,56236,56236,0.0,,neutral
astropy-25,Submitted,21,139041,139041,0.0,,neutral
astropy-26,Submitted,25,95545,95545,0.0,,neutral
astropy-29,Submitted,23,119922,119922,0.0,,neutral
astropy-28,Submitted,30,122393,122393,0.0,,neutral
astropy-30,Submitted,28,65486,65486,0.0,,neutral
astropy-24,Submitted,26,151392,151392,0.0,,neutral
astropy-32,Submitted,8,20533,20533,0.0,,neutral
astropy-31,LimitsExceeded,30,159748,159748,0.0,,neutral
astropy-33,LimitsExceeded,30,128564,128564,0.0,,neutral
astropy-35,Submitted,23,85156,85156,0.0,,neutral
astropy-34,LimitsExceeded,30,122780,122780,0.0,,neutral
astropy-37,Submitted,15,58755,58755,0.0,,neutral
astropy-39,LimitsExceeded,30,152342,152342,0.0,,neutral
astropy-36,LimitsExceeded,30,214194,214194,0.0,,neutral
astropy-40,Submitted,30,85631,85631,0.0,,neutral
astropy-38,Submitted,24,115408,115408,0.0,,neutral
astropy-44,Submitted,5,16947,16947,0.0,,neutral
astropy-43,Submitted,20,42556,42556,0.0,,neutral
astropy-45,Submitted,4,9669,9669,0.0,,neutral
astropy-41,LimitsExceeded,30,123242,123242,0.0,,neutral
astropy-46,Submitted,9,21886,21886,0.0,,neutral
conan-0,Submitted,6,20174,20174,0.0,,neutral
conan-1,Submitted,6,18832,18832,0.0,,neutral
