instance_id,exit_status,steps,trace_tokens,billed_tokens,cost_usd,correct
astropy-3,Submitted,2,1923,1923,0.0,
astropy-2,Submitted,22,44572,44572,0.0,
astropy-0,Submitted,5,7008,7008,0.0,
astropy-4,Submitted,3,4207,4207,0.0,
astropy-6,Submitted,10,13112,13112,0.0,
astropy-5,Submitted,21,42498,42498,0.0,
astropy-1,Submitted,31,84127,84127,0.0,
astropy-7,Submitted,20,37202,37202,0.0,
astropy-9,Submitted,1,845,845,0.0,
astropy-8,Submitted,12,16548,16548,0.0,
astropy-10,Submitted,12,18368,18368,0.0,
astropy-11,Submitted,4,5006,5006,0.0,
astropy-12,Submitted,20,43641,43641,0.0,
astropy-13,Submitted,31,83374,83374,0.0,
astropy-15,Submitted,27,64730,64730,0.0,
astropy-18,Submitted,5,5143,5143,0.0,
astropy-17,Submitted,10,11507,11507,0.0,
astropy-14,Submitted,17,32238,32238,0.0,
astropy-16,Submitted,18,42440,42440,0.0,
astropy-21,Submitted,5,5731,5731,0.0,
astropy-22,Submitted,12,18581,18581,0.0,
astropy-23,Submitted,9,11175,11175,0.0,
astropy-20,Submitted,25,54973,54973,0.0,
astropy-25,Submitted,7,7261,7261,0.0,
astropy-24,Submitted,11,14687,14687,0.0,
astropy-26,Submitted,13,19117,19117,0.0,
astropy-19,Submitted,24,54051,54051,0.0,
astropy-29,Submitted,7,6065,6065,0.0,
astropy-28,Submitted,4,5079,5079,0.0,
astropy-30,Submitted,14,19135,19135,0.0,
astropy-32,Submitted,2,2237,2237,0.0,
astropy-27,Submitted,22,46414,46414,0.0,
astropy-34,Submitted,3,2603,2603,0.0,
astropy-33,Submitted,7,6963,6963,0.0,
astropy-31,Submitted,21,38783,38783,0.0,
astropy-35,Submitted,2,2098,2098,0.0,
astropy-36,Submitted,7,7570,7570,0.0,
astropy-38,Submitted,13,20076,20076,0.0,
astropy-39,Submitted,23,59191,59191,0.0,
astropy-37,Submitted,15,29239,29239,0.0,
astropy-40,Submitted,7,9028,9028,0.0,
astropy-42,Submitted,9,10752,10752,0.0,
astropy-43,Submitted,31,81880,81880,0.0,
astropy-44,Submitted,8,11437,11437,0.0,
astropy-45,Submitted,23,47944,47944,0.0,
astropy-41,Submitted,28,81506,81506,0.0,
